"run_index","RnumSeed","DH_GH_or_direct","D","PATCHES","nPATCHES","USE_MUTATIONS_FROM_FILES","ADDITIVE_FITNESS","MULTIPLICATIVE_FITNESS","TWO_DEME","DETERMINISTIC","nGENERATIONS_MAX","nMUTATIONS","INITIAL_CONDITIONS","INITIAL_POPULAION_SIZE","MEAN_S","SYMMETRIC_MUTATIONS","MAP_TYPE","GAMETE_PRODUCTION_MODE","FIXED_N","K","H","MOSAIC","SD_MOVE","OFFSPRING_IN_RANDOM_LOCATIONS","nCHROMOSOMES","TOTAL_MAP_LENGTH","MUTATION_DISTRIBUTION","FATTEN_TAIL_PROPORTION","FATTEN_TAIL_MAX","NUMBER_BIG_TO_ESTABLISH","START_WITH_BIG_IN_PLACE","BIG_START_S_VAL","END_PERIOD_ALLOPATRY","START_PERIOD_ALLOPATRY","PERIOD_ALLOPATRY","MUTATIONS_PER_GENERATION","DEME0_CONSTANT_S","DEME1_CONSTANT_S","DMI_MEAN_EFFECT","DMI_PROBABILITY","PROBABILITY_DERIVED_REVERSED","POSITIVE_EPI_PROBABILITY","MEAN_POSITIVE_EPI_COEFF","TS_SAMPLING_FREQUENCY","RECORD_LD_VALUES","START_THRESH_FOR_LD","END_THRESH_FOR_LD","LD_LOCI_SUBSAMPLE","LD_LowerBound","RI_THRESH","FST_MIN_RECORDING_THRESH","FRACTION_SELECTED_LOCI","CodeVersion","LDfilesPresent","TotalFileCount","hdsource"
202971,735085350,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,39,"HD2"
202972,735085353,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202973,735085356,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202974,735085359,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202975,735085362,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202976,735085365,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202977,735085368,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202978,735085371,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202979,735085374,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
202980,735085377,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.01,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,172,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
