"run_index","RnumSeed","DH_GH_or_direct","D","PATCHES","nPATCHES","USE_MUTATIONS_FROM_FILES","ADDITIVE_FITNESS","MULTIPLICATIVE_FITNESS","TWO_DEME","DETERMINISTIC","nGENERATIONS_MAX","nMUTATIONS","INITIAL_CONDITIONS","INITIAL_POPULAION_SIZE","MEAN_S","SYMMETRIC_MUTATIONS","MAP_TYPE","GAMETE_PRODUCTION_MODE","FIXED_N","K","H","MOSAIC","SD_MOVE","OFFSPRING_IN_RANDOM_LOCATIONS","nCHROMOSOMES","TOTAL_MAP_LENGTH","MUTATION_DISTRIBUTION","FATTEN_TAIL_PROPORTION","FATTEN_TAIL_MAX","NUMBER_BIG_TO_ESTABLISH","START_WITH_BIG_IN_PLACE","BIG_START_S_VAL","END_PERIOD_ALLOPATRY","START_PERIOD_ALLOPATRY","PERIOD_ALLOPATRY","MUTATIONS_PER_GENERATION","DEME0_CONSTANT_S","DEME1_CONSTANT_S","DMI_MEAN_EFFECT","DMI_PROBABILITY","PROBABILITY_DERIVED_REVERSED","POSITIVE_EPI_PROBABILITY","MEAN_POSITIVE_EPI_COEFF","TS_SAMPLING_FREQUENCY","RECORD_LD_VALUES","START_THRESH_FOR_LD","END_THRESH_FOR_LD","LD_LOCI_SUBSAMPLE","LD_LowerBound","RI_THRESH","FST_MIN_RECORDING_THRESH","FRACTION_SELECTED_LOCI","CodeVersion","LDfilesPresent","TotalFileCount","hdsource"
202701,732055833,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202702,732055836,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202703,732055839,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202704,732055842,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202705,732055845,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202706,732055848,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202707,732055851,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202708,732055854,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202709,732055857,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202710,732055860,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.001,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202711,732055833,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202712,732055836,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202713,732055839,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202714,732055842,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202715,732055845,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202716,732055848,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
202717,732055851,"DH",1,2,2,0,0,1,1,1,1,11000000,0,4000,0,1,1,0,1,10000,0.5,0,0.01,1,10,1000,0,1e-04,1,0,0,0.5,-1,-1,1000,10,0.01,0.01,0,0,0.5,0,0,1100000000,1,0.87,0.06,1,0.001,1e-04,-1,0,"bu2s_3.6.0",1,37,"HD2"
