"run_index","RnumSeed","DH_GH_or_direct","D","PATCHES","nPATCHES","USE_MUTATIONS_FROM_FILES","ADDITIVE_FITNESS","MULTIPLICATIVE_FITNESS","TWO_DEME","DETERMINISTIC","nGENERATIONS_MAX","nMUTATIONS","INITIAL_CONDITIONS","INITIAL_POPULAION_SIZE","MEAN_S","SYMMETRIC_MUTATIONS","MAP_TYPE","GAMETE_PRODUCTION_MODE","FIXED_N","K","H","MOSAIC","SD_MOVE","OFFSPRING_IN_RANDOM_LOCATIONS","nCHROMOSOMES","TOTAL_MAP_LENGTH","MUTATION_DISTRIBUTION","FATTEN_TAIL_PROPORTION","FATTEN_TAIL_MAX","NUMBER_BIG_TO_ESTABLISH","START_WITH_BIG_IN_PLACE","BIG_START_S_VAL","END_PERIOD_ALLOPATRY","START_PERIOD_ALLOPATRY","PERIOD_ALLOPATRY","MUTATIONS_PER_GENERATION","DEME0_CONSTANT_S","DEME1_CONSTANT_S","DMI_MEAN_EFFECT","DMI_PROBABILITY","PROBABILITY_DERIVED_REVERSED","POSITIVE_EPI_PROBABILITY","MEAN_POSITIVE_EPI_COEFF","TS_SAMPLING_FREQUENCY","RECORD_LD_VALUES","START_THRESH_FOR_LD","END_THRESH_FOR_LD","LD_LOCI_SUBSAMPLE","LD_LowerBound","RI_THRESH","FST_MIN_RECORDING_THRESH","FRACTION_SELECTED_LOCI","CodeVersion","LDfilesPresent","TotalFileCount","hdsource"
203121,735085800,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,39,"HD2"
203122,735085803,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203123,735085806,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203124,735085809,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203125,735085812,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203126,735085815,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203127,735085818,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203128,735085821,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203129,735085824,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,39,"HD2"
203130,735085827,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203131,735085830,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,39,"HD2"
203132,735085833,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203133,735085836,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203134,735085839,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203135,735085842,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203136,735085845,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203137,735085848,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203138,735085851,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203139,735085854,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203140,735085857,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203141,735085860,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203142,735085863,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
203143,735085866,"DH",1,2,2,0,0,1,1,1,1,15000000,0,5000,0.02,1,1,0,1,10000,0.5,0,0.1,1,4,100,3,1e-04,1,0,0,0.5,-1,-1,1000,10,0.02,0.02,0,0,0.5,0,0,500,0,0.87,0.06,1,0.001,1e-04,-1,0.090909,"bu2s_3.6.1",0,33,"HD2"
